profile_id	Aminoglycosides	MLS	Tetracyclines	Cationic antimicrobial peptides	Mercury resistance	betalactams	Multi-metal resistance	Drug and biocide resistance	Copper resistance	Elfamycins	Fluoroquinolones	Oxazolidinone	Lipopeptides	Rifampin	Multi-biocide resistance	Arsenic resistance	Biocide and metal resistance	Multi-drug resistance	Fosfomycin	Peroxide resistance	Sulfonamides	Zinc resistance	Nickel resistance	Phenicol	Acid resistance	Drug and biocide and metal resistance	Phenolic compound resistance	Aminocoumarins	Lead resistance	Trimethoprim	Acetate resistance	Chromium resistance	Biguanide resistance
Barcelona_Sewage_2M	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Berlin_Sewage_2M	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Bogota_Sewage_2M	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0
Hanoi_Sewage_2M	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1
Hong_Kong_Sewage_2M	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1
Ilorin_Sewage_2M	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Kuala_Lumpur_Sewage_2M	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1
Lisbon_Sewage_2M	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Oslo_Sewage_2M	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto_Sewage_2M	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rio_de_Janeiro_Sewage_2M	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Santiago_Sewage_2M	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Singapore_Sewage_2M	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
Sofia_Sewage_2M	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Taipei_Sewage_2M	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0
Vienna_Sewage_2M	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barcelona_Transit_5M	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Berlin_Transit_5M	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Bogota_Transit_5M	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanoi_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0
Hong_Kong_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0
Ilorin_Transit_5M	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0
Kuala_Lumpur_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0
Lisbon_Transit_5M	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Oslo_Transit_5M	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Porto_Transit_5M	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio_de_Janeiro_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
Santiago_Transit_5M	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Singapore_Transit_5M	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sofia_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
Taipei_Transit_5M	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
Vienna_Transit_5M	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0
